,country,Population,page,rev_id
9864,"Congo, Dem. Rep. of",0,José Makila Sumanda,764771652.0
9865,"Congo, Dem. Rep. of",0,Trésor Kapuku Ngoy,764771697.0
9866,"Congo, Dem. Rep. of",0,Jeannot Bemba Saolona,798859637.0
9867,"Congo, Dem. Rep. of",0,Charles Kisolokele,792037043.0
9868,"Congo, Dem. Rep. of",0,Sylvain Ngabu Chumbu,720858135.0
9869,"Congo, Dem. Rep. of",0,Adam Bombolé,787602247.0
9870,"Congo, Dem. Rep. of",0,Daniel Mukoko Samba,757821887.0
9871,"Congo, Dem. Rep. of",0,Kavidi Wivine N'Landu,798489264.0
9872,"Congo, Dem. Rep. of",0,President of the Democratic Republic of the Congo,801936063.0
9873,"Congo, Dem. Rep. of",0,Sébastien Impeto Pengo,725141090.0
9874,"Congo, Dem. Rep. of",0,Edouard Kiove Kola,756510063.0
9875,"Congo, Dem. Rep. of",0,Frédéric Kibassa Maliba,804359582.0
9876,"Congo, Dem. Rep. of",0,Alexis Thambwe Mwamba,801968131.0
9877,"Congo, Dem. Rep. of",0,José Endundo Bononge,721206007.0
9878,"Congo, Dem. Rep. of",0,Sophie Kanza,790942655.0
9879,"Congo, Dem. Rep. of",0,Paul Bolya,794134715.0
9880,"Congo, Dem. Rep. of",0,Pierre Mulele,803335436.0
9881,"Congo, Dem. Rep. of",0,Maurice Mpolo,805086693.0
9882,"Congo, Dem. Rep. of",0,Banza Mukalay,765924619.0
9883,"Congo, Dem. Rep. of",0,Louis Alphonse Koyagialo,782350026.0
9884,"Congo, Dem. Rep. of",0,Emmanuel Dungia,797348410.0
9885,"Congo, Dem. Rep. of",0,Raymond Tshibanda,765923988.0
9886,"Congo, Dem. Rep. of",0,Mulumba Lukoji,743061455.0
9887,"Congo, Dem. Rep. of",0,Banyingela Kasonga,790586686.0
9888,"Congo, Dem. Rep. of",0,Josué Alex Mukendi,765871730.0
9889,"Congo, Dem. Rep. of",0,Jean Collins Musonda Kalusambo,714150941.0
9890,"Congo, Dem. Rep. of",0,Mabi Mulumba,765799138.0
9891,"Congo, Dem. Rep. of",0,N'Singa Udjuu,765799213.0
9892,"Congo, Dem. Rep. of",0,Medard Mulangala,798948484.0
9893,"Congo, Dem. Rep. of",0,Jonas Mukamba Kadiata Nzemba,782825984.0
9894,"Congo, Dem. Rep. of",0,Kasongo Ilunga,774263410.0
9895,"Congo, Dem. Rep. of",0,Évariste Boshab,765925554.0
9896,"Congo, Dem. Rep. of",0,Jean-Chrysostome Werengemere,806947596.0
9897,"Congo, Dem. Rep. of",0,André Lubaya,806545614.0
9898,"Congo, Dem. Rep. of",0,Noel K Tshiani Muadiamvita,772818039.0
9899,"Congo, Dem. Rep. of",0,Jules Mutebusi,802411491.0
9900,"Congo, Dem. Rep. of",0,Nkulu Mitumba Kilombo,800087105.0
9901,"Congo, Dem. Rep. of",0,Myra Ndjoku Manianga,705723441.0
9902,"Congo, Dem. Rep. of",0,List of heads of state of the Democratic Republic of the Congo,802197658.0
9903,"Congo, Dem. Rep. of",0,Daniel Kanza,805523382.0
9904,"Congo, Dem. Rep. of",0,Ntumba Luaba,705723187.0
9905,"Congo, Dem. Rep. of",0,Luzolo Bambi Lessa,782618365.0
9906,"Congo, Dem. Rep. of",0,Théophile Mbemba Fundu,705707214.0
9907,"Congo, Dem. Rep. of",0,Thomas Kanza,801348128.0
9908,"Congo, Dem. Rep. of",0,Mobutu Sese Seko,805038023.0
9909,"Congo, Dem. Rep. of",0,Alphonse Songolo,802154801.0
9910,"Congo, Dem. Rep. of",0,Sultani Makenga,765834828.0
9911,"Congo, Dem. Rep. of",0,Adolphe Lumanu,787715913.0
9912,"Congo, Dem. Rep. of",0,Emmanuel Leku Apuobo,713198718.0
9913,"Congo, Dem. Rep. of",0,Jules Fontaine Sambwa,765570258.0
9914,"Congo, Dem. Rep. of",0,List of provincial governors of the Democratic Republic of the Congo,663088604.0
9915,"Congo, Dem. Rep. of",0,Paul Joseph Mukungubila Mutombo,788024194.0
9916,"Congo, Dem. Rep. of",0,Patrice Lumumba,807273861.0
9917,"Congo, Dem. Rep. of",0,André-Philippe Futa,708009445.0
9918,"Congo, Dem. Rep. of",0,Gérard Kamanda wa Kamanda,807258156.0
9919,"Congo, Dem. Rep. of",0,Eugène Serufuli Ngayabaseka,806189185.0
9920,"Congo, Dem. Rep. of",0,Julien Paluku Kahongya,806189633.0
9921,"Congo, Dem. Rep. of",0,Abdoulaye Yerodia Ndombasi,794072384.0
9922,"Congo, Dem. Rep. of",0,Jean-Pierre Bemba,807193274.0
9923,"Congo, Dem. Rep. of",0,Leonard Mashako Mamba,804709167.0
9924,"Congo, Dem. Rep. of",0,Cléophas Kamitatu,786874201.0
9925,"Congo, Dem. Rep. of",0,François Nicéphore Kakese,737533634.0
9926,"Congo, Dem. Rep. of",0,Jason Sendwe,807243537.0
9927,"Congo, Dem. Rep. of",0,Vice-Presidents of the Democratic Republic of the Congo,780035740.0
9928,"Congo, Dem. Rep. of",0,Eugène Diomi Ndongala Nzomambu,705390654.0
9929,"Congo, Dem. Rep. of",0,Guy-Patrice Lumumba,798185563.0
9930,"Congo, Dem. Rep. of",0,Anicet Kashamura,790738130.0
9931,"Congo, Dem. Rep. of",0,Clovis Kabongo Malemba,733051797.0
9932,"Congo, Dem. Rep. of",0,Jean Andeka,768228272.0
9933,"Congo, Dem. Rep. of",0,List of mayors of Goma,806372703.0
