country,population,page,rev_id,prediction
"Congo, Dem. Rep. of",0,Emile Mota,784182810.0,Start
"Congo, Dem. Rep. of",0,Georges Minsay Booka,805279692.0,Start
"Congo, Dem. Rep. of",0,Joseph Kabila,798455633.0,GA
"Congo, Dem. Rep. of",0,Antoine Ghonda,793411567.0,Start
"Congo, Dem. Rep. of",0,Ekila Liyonda,799913697.0,Start
"Congo, Dem. Rep. of",0,Joseph Okito,801770255.0,Start
Cook Island,0,Robert Wigmore,794802546.0,Start
Cook Island,0,Teina Bishop,788898457.0,Start
Cook Island,0,Pupuke Robati,763776270.0,Start
Cook Island,0,Teremoana Tapi Taio,763776229.0,Start
Cook Island,0,Pumati Israela,788899523.0,Stub
Cook Island,0,Tekii Lazaro,763776768.0,Stub
Cook Island,0,Apenera Short,788240713.0,Start
Cook Island,0,Tom Davis (Cook Islands politician),778763952.0,C
Cook Island,0,Kiriau Turepu,763776860.0,Stub
Cook Island,0,Tai Tura,763776737.0,Stub
Cook Island,0,Mii Parima,763776808.0,Stub
Cook Island,0,Albert Henry (politician),797303536.0,C
Cook Island,0,Robert Woonton,717897925.0,Start
Cook Island,0,Mapu Taia,763776235.0,Stub
Cook Island,0,Kete Ioane,778717694.0,Start
Cook Island,0,Pa Tepaeru Terito Ariki,805657875.0,C
Cook Island,0,Deputy Prime Minister of the Cook Islands,767048881.0,Start
Cook Island,0,Terepai Maoate,767048874.0,Start
Cook Island,0,Albert Nicholas (Cook Islands),763775035.0,Stub
Cook Island,0,Maria Heather,757064438.0,Stub
Cook Island,0,Atatoa Herman,767994335.0,Stub
Cook Island,0,Terepai Maoate Jnr,763775893.0,Stub
Cook Island,0,Tepure Tapaitau,763776231.0,Start
Cook Island,0,Taunga Toka,763776193.0,Stub
Cook Island,0,Marguerite Story,787227714.0,Start
Cook Island,0,Nandi Glassie,763774069.0,Stub
Cook Island,0,Pukeiti Pukeiti,794802590.0,Stub
Cook Island,0,Tom Marsters,806739780.0,Start
Cook Island,0,Vincent Ingram,763775867.0,Start
Cook Island,0,Ngamau Munokoa,784786128.0,Start
Cook Island,0,Toanui Isamaela,763776103.0,Stub
Cook Island,0,John Henry (Cook Islands politician),797303432.0,Stub
Cook Island,0,Jim Marurai,799769949.0,C
Cook Island,0,Frederick Tutu Goodwin,784686871.0,Start
Cook Island,0,Apii Piho,763775030.0,Stub
Cook Island,0,Dorice Reid,757065079.0,B
Cook Island,0,Tangaroa Tangaroa,737975585.0,Start
Cook Island,0,Selina Napa,757064845.0,Stub
Cook Island,0,Tetangi Matapo,757064793.0,Stub
